customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0001-GTOKH,Male,1,No,Yes,44,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),73.13,3212.99,No
0002-UGZSW,Male,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),74.6,4394.36,No
0003-KKXUD,Male,0,No,Yes,2,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,64.08,125.86,Yes
0004-HXCVU,Male,0,No,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1174.22,No
0005-BXLFB,Male,0,Yes,Yes,42,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.54,3529.4,No
0006-UALZV,Female,0,No,No,8,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),69.24,576.67,No
0007-LYQJP,Male,1,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),33.34,1346.62,No
0008-OOSLW,Male,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,90.2,4084.49,No
0009-TYCES,Male,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.06,92.72,No
0010-GUIGR,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),102.37,3147.61,No
0011-DYNRZ,Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,92.49,3578.3,No
0012-IZUBT,Female,0,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,39.52,2233.79,No
0013-OGLHO,Male,1,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.22,1650.04,No
0014-CNQDR,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,69.27,5034.82,No
0015-HDBFV,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.67,28.11,Yes
0016-JDVRZ,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.12,227.32,No
0017-LBJDN,Female,1,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),83.43,4311.21,Yes
0018-POHNW,Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.87,828.97,No
0019-YHUPM,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,65.46,4119.46,No
0020-ROUXZ,Male,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,247.49,No
0021-YMIOM,Male,0,Yes,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),69.71,211.96,No
0022-AYGIX,Female,1,Yes,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,70.37,139.71,No
0023-ALHXK,Male,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.37,163.27,No
0024-SQHCC,Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.09,377.25,No
0025-AEJGZ,Female,1,Yes,No,8,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,71.71,552.28,No
0026-IGIHL,Female,0,No,No,0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,94.59, ,Yes
0027-BAPWW,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,79.22,1339.46,Yes
0028-XECLH,Female,1,Yes,Yes,34,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.59,2448.64,No
0029-VCACE,Female,0,No,Yes,1,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,66.44,65.77,No
0030-ONCAE,Male,0,Yes,No,5,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),82.17,403.81,Yes
0031-ZWNGI,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.44,179.91,Yes
0032-OOZJM,Female,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,1797.57,Yes
0033-SGQTD,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),58.14,301.61,No
0034-EWGMO,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.99,550.37,No
0035-KDMGS,Male,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,101.46,4608.64,No
0036-VBJMY,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.78,217.55,No
0037-UFLLT,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,86.46,4250.52,No
0038-KZWYG,Male,1,No,No,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.78,4907.07,Yes
0039-AAYYT,Female,0,No,Yes,47,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,50.69,2354.54,No
0040-MICGF,Female,0,Yes,Yes,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.41, ,No
0041-HIEAS,Female,0,No,Yes,70,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),81.39,5605.01,No
0042-JLXOV,Female,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),104.2,853.43,Yes
0043-XITQQ,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,77.04,147.12,No
0044-ZTLGB,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.88,244.91,No
0045-CQEQX,Male,1,No,No,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),90.19,2999.44,No
0046-QQBBV,Female,1,Yes,No,33,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,79.57,2574.75,No
0047-WEAAS,Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.23,1853.91,No
0048-BULZF,Female,0,No,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,102.29,4576.08,No
0049-WDWKX,Male,0,Yes,Yes,29,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),59.31,1766.46,No
0050-QFXET,Female,1,Yes,No,0,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,65.73, ,No
